Data,Modelo,Vram,Tipo de Memoria,Preco a vista,Preco Parcelado
23-07-25,ASROCK INTEL ARC A310 LOW PROFILE,4GB,GDDR6,"R$ 859,99","R$ 1.011,75"
23-07-25,GIGABYTE RADEON RX 9070 XT AORUS ELITE,16GB,GDDR6,"R$ 6.059,99","R$ 7.129,40"
23-07-25,ASROCK RADEON RX 9070 CHALLENGER,16GB,GDDR6,"R$ 4.999,99","R$ 5.882,34"
23-07-25,SPARKLE INTEL ARC B580 TITAN LUNA OC,12GB,GDDR6,"R$ 2.159,99","R$ 2.541,17"
23-07-25,ASROCK RADEON RX 9070 STEEL LEGEND OC,16GB,GDDR6,"R$ 5.499,99","R$ 6.470,58"
23-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2 OC,16GB,GDDR7,"R$ 3.699,99","R$ 4.352,93"
23-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2 OC WHITE,16GB,GDDR7,"R$ 3.749,99","R$ 4.411,75"
23-07-25,MANCER RADEON RX 5700 XT STREAKY V2,8GB,GDDR6,"R$ 1.499,99","R$ 1.764,69"
23-07-25,ASUS GEFORCE RTX 5090 TUF GAMING,32GB,GDDR7,"R$ 19.499,99","R$ 22.941,16"
23-07-25,SPARKLE INTEL ARC B580 TITAN OC,12GB,GDDR6,"R$ 2.059,99","R$ 2.423,52"
23-07-25,ASUS RADEON RX 9070 XT PRIME OC,16GB,GDDR6,"R$ 5.399,99","R$ 6.352,93"
23-07-25,MSI GEFORCE RTX 5060 VENTUS 2X OC,8GB,GDDR7,"R$ 2.399,99","R$ 2.823,52"
23-07-25,SPARKLE INTEL ARC B570 GUARDIAN OC,10GB,GDDR6,"R$ 1.899,99","R$ 2.235,28"
23-07-25,PALIT GEFORCE RTX 5070 TI GAMING PRO-S OC,16GB,GDDR7,"R$ 7.199,99","R$ 8.470,58"
23-07-25,PALIT GEFORCE RTX 5070 TI GAMING PRO-S,16GB,GDDR7,"R$ 7.049,99","R$ 8.294,11"
23-07-25,POWERCOLOR RADEON RX 7800 XT,16GB,GDDR6,"R$ 3.699,99","R$ 4.352,93"
23-07-25,ASROCK RADEON RX 6600 CHALLENGER D,8GB,GDDR6,"R$ 1.599,99","R$ 1.882,34"
23-07-25,GALAX GEFORCE RTX 5060 1-CLICK OC,8GB,GDDR7,"R$ 2.749,99","R$ 3.235,28"
23-07-25,GALAX GEFORCE RTX 5060 1-CLICK OC LAUNCH EDITION,8GB,GDDR7,"R$ 2.649,99","R$ 3.117,64"
23-07-25,GIGABYTE RADEON RX 7600 GAMING OC,8GB,GDDR6,"R$ 1.769,99","R$ 2.082,34"
23-07-25,GALAX GEFORCE RTX 5060 EX 1-CLICK OC WHITE,8GB,GDDR7,"R$ 2.799,99","R$ 3.294,10"
23-07-25,GALAX GEFORCE RTX 5060 EX 1-CLICK OC,8GB,GDDR7,"R$ 2.699,99","R$ 3.176,46"
23-07-25,GALAX GEFORCE RTX 5060 TI 1-CLICK OC,8GB,GDDR7,"R$ 3.299,99","R$ 3.882,34"
23-07-25,GALAX GEFORCE RTX 5070 1-CLICK OC WHITE,12GB,GDDR7,"R$ 4.899,99","R$ 5.764,69"
23-07-25,ASROCK INTEL ARC A310 LOW PROFILE,4GB,GDDR6,"R$ 859,99","R$ 1.011,75"
23-07-25,MANCER RADEON RX 550,4GB,GDDR5,"R$ 519,99","R$ 611,75"
23-07-25,XFX RADEON RX 7800 XT QUICKSILVER,16GB,GDDR6,"R$ 4.599,99","R$ 5.411,75"
23-07-25,ASUS GEFORCE RTX 5060 DUAL OC EDITION,8GB,GDDR7,"R$ 2.399,99","R$ 2.823,52"
23-07-25,XFX RADEON RX 7900 XTX MERCURY,24GB,GDDR6,"R$ 7.299,99","R$ 8.588,22"
23-07-25,PCYES GEFORCE GT 1030,4GB,GDDR4,"R$ 569,99","R$ 670,58"
23-07-25,PCYES GEFORCE GT 1030,2GB,GDDR5,"R$ 529,99","R$ 623,52"
23-07-25,GIGABYTE GEFORCE RTX 5060 TI EAGLE OC,8GB,GDDR7,"R$ 2.999,99","R$ 3.529,40"
23-07-25,MANCER RADEON RX 5600 STREAKY,6GB,GDDR6,"R$ 1.299,99","R$ 1.529,40"
23-07-25,POWERCOLOR RADEON RX 7800 XT HELLHOUND SPECTRAL WHITE OC,16GB,GDDR6,"R$ 4.299,99","R$ 5.058,81"
23-07-25,POWERCOLOR RADEON RX 7800 XT FIGHTER OC,16GB,GDDR6,"R$ 3.899,99","R$ 4.588,22"
23-07-25,GALAX GEFORCE RTX 5060 TI 1-CLICK OC,16GB,GDDR7,"R$ 3.799,99","R$ 4.470,58"
23-07-25,MSI GEFORCE RTX 4070 SUPER VENTUS 2X OC,12GB,GDDR6X,"R$ 4.759,99","R$ 5.599,99"
23-07-25,ASROCK RADEON RX 6500 XT PHANTOM GAMING D OC,4GB,GDDR6,"R$ 1.299,99","R$ 1.529,40"
23-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2 OC,16GB,GDDR7,"R$ 3.499,99","R$ 4.117,63"
23-07-25,ASROCK RADEON RX 6400 CHALLENGER ITX,4GB,GDDR6,"R$ 1.029,99","R$ 1.211,75"
23-07-25,MSI GEFORCE RTX 5090 VANGUARD SOC LAUNCH EDITION,32GB,GDDR7,"R$ 22.999,99","R$ 27.058,81"
23-07-25,PALIT GEFORCE RTX 5090 GAMEROCK,32GB,GDDR7,"R$ 18.999,99","R$ 22.352,93"
23-07-25,PALIT GEFORCE RTX 5080 GAMING PRO OC,16GB,GDDR7,"R$ 8.599,99","R$ 10.117,63"
23-07-25,PALIT GEFORCE RTX 5080 GAME ROCK,16GB,GDDR7,"R$ 9.499,99","R$ 11.176,46"
23-07-25,INNO3D GEFORCE RTX 5080 X3 OC,16GB,GDDR7,"R$ 8.663,99","R$ 10.192,93"
23-07-25,INNO3D GEFORCE RTX 5080 X3,16GB,GDDR7,"R$ 8.599,99","R$ 10.117,64"
23-07-25,GALAX GEFORCE RTX 5080 1-CLICK OC,16GB,GDDR7,"R$ 9.699,99","R$ 11.411,75"
23-07-25,ZOTAC GEFORCE RTX 4060 TWIN EDGE OC WHITE EDITION,8GB,GDDR6,"R$ 2.329,99","R$ 2.741,16"
23-07-25,GALAX GEFORCE RTX 3050 EX V2 1-CLICK OC,6GB,GDDR6,"R$ 1.379,99","R$ 1.623,52"
23-07-25,INNO3D GEFORCE RTX 3060 TWIN X2,12GB,GDDR6,"R$ 2.029,98","R$ 2.388,21"
23-07-25,GALAX GEFORCE RTX 3060 1-CLICK OC,12GB,GDDR6,"R$ 2.199,99","R$ 2.588,22"
23-07-25,MANCER GEFORCE RTX 2060 HEIMDALL,6GB,GDDR6,"R$ 1.699,99","R$ 1.999,99"
23-07-25,INNO3D GEFORCE GT 1030,2GB,GDDR5,"R$ 559,99","R$ 658,81"
23-07-25,TGT GEFORCE GT610,2GB,DDR3,"R$ 159,99","R$ 188,22"
23-07-25,MANCER GTX 1660 SUPER HEIMDALL,6GB,GDDR6,"R$ 1.349,00","R$ 1.587,06"
23-07-25,GIGABYTE GEFORCE RTX 5070 EAGLE OC ICE,12GB,GDDR7,"R$ 4.499,99","R$ 5.294,11"
23-07-25,GIGABYTE GEFORCE RTX 5070 GAMING OC,12GB,GDDR7,"R$ 4.599,99","R$ 5.411,75"
23-07-25,GIGABYTE GEFORCE RTX 5070 AERO OC,12GB,GDDR7,"R$ 4.999,99","R$ 5.882,34"
23-07-25,GIGABYTE GEFORCE RTX 5070 AORUS MASTER,12GB,GDDR7,"R$ 5.599,99","R$ 6.588,22"
23-07-25,GIGABYTE GEFORCE RTX 5070 TI AERO OC,16GB,GDDR7,"R$ 7.499,99","R$ 8.823,52"
23-07-25,MSI GEFORCE RTX 5070 TI VENTUS 3X OC,16GB,GDDR7,"R$ 6.599,99","R$ 7.764,69"
23-07-25,INNO3D GEFORCE RTX 5070 TI X3 OC,16GB,GDDR7,"R$ 7.179,99","R$ 8.447,05"
23-07-25,INNO3D GEFORCE RTX 5070 TI X3,16GB,GDDR7,"R$ 6.499,99","R$ 7.647,05"
23-07-25,ASUS GEFORCE RTX 5070 TUF GAMING OC EDITION,12GB,GDDR7,"R$ 5.189,99","R$ 6.105,87"
23-07-25,ASUS GEFORCE RTX 5070 PRIME OC EDITION,12GB,GDDR7,"R$ 4.599,99","R$ 5.411,75"
23-07-25,PNY GEFORCE RTX 5080 OC,16GB,GDDR7,"R$ 9.999,99","R$ 11.764,69"
23-07-25,ASUS GEFORCE RTX 5070 TI TUF GAMING OC EDITION,16GB,GDDR7,"R$ 7.399,99","R$ 8.705,87"
23-07-25,PALIT GEFORCE RTX 5070 TI GAMING PRO,16GB,GDDR7,"R$ 6.699,99","R$ 7.882,34"
23-07-25,PALIT GEFORCE RTX 5070 TI GAMING PRO OC,16GB,GDDR7,"R$ 7.099,99","R$ 8.352,93"
23-07-25,PALIT GEFORCE RTX 5070 GAMING PRO,12GB,GDDR7,"R$ 4.499,99","R$ 5.294,11"
23-07-25,MANCER GEFORCE RTX 2060 SUPER HEIMDALL,8GB,GDDR6,"R$ 2.099,99","R$ 2.470,58"
23-07-25,MANCER GEFORCE GTX 1660 SUPER HEIMDALL V4,6GB,GDDR6,"R$ 1.399,99","R$ 1.647,05"
23-07-25,TGT GT 730,4GB,GDDR3,"R$ 284,99","R$ 335,28"
23-07-25,POWERCOLOR RADEON RX 7800 XT,16GB,GDDR6,"R$ 4.099,99","R$ 4.823,52"
23-07-25,AMD RADEON PRO W6400,4GB,GDDR6,"R$ 1.899,99","R$ 2.235,28"
23-07-25,XFX RADEON RX 7600 SPEEDSTER SWFT210,8GB,GDDR6,"R$ 1.829,99","R$ 2.152,93"
