Data,Modelo,Vram,Tipo de Memoria,Preco a vista,Preco Parcelado
24-07-25,GALAX GEFORCE RTX 5060 1-CLICK OC LAUNCH EDITION,8GB,GDDR7,"R$ 2.649,99","R$ 3.117,64"
24-07-25,GIGABYTE RADEON RX 7600 GAMING OC,8GB,GDDR6,"R$ 1.769,99","R$ 2.082,34"
24-07-25,GALAX GEFORCE RTX 5060 EX 1-CLICK OC WHITE,8GB,GDDR7,"R$ 2.799,99","R$ 3.294,10"
24-07-25,GALAX GEFORCE RTX 5060 EX 1-CLICK OC,8GB,GDDR7,"R$ 2.699,99","R$ 3.176,46"
24-07-25,GALAX GEFORCE RTX 5060 TI 1-CLICK OC,8GB,GDDR7,"R$ 3.299,99","R$ 3.882,34"
24-07-25,GALAX GEFORCE RTX 5070 1-CLICK OC WHITE,12GB,GDDR7,"R$ 4.899,99","R$ 5.764,69"
24-07-25,ASROCK INTEL ARC A310 LOW PROFILE,4GB,GDDR6,"R$ 859,99","R$ 1.011,75"
24-07-25,MANCER RADEON RX 550,4GB,GDDR5,"R$ 519,99","R$ 611,75"
24-07-25,XFX RADEON RX 7800 XT QUICKSILVER,16GB,GDDR6,"R$ 4.599,99","R$ 5.411,75"
24-07-25,ASUS GEFORCE RTX 5060 DUAL OC EDITION,8GB,GDDR7,"R$ 2.399,99","R$ 2.823,52"
24-07-25,XFX RADEON RX 7900 XTX MERCURY,24GB,GDDR6,"R$ 7.299,99","R$ 8.588,22"
24-07-25,PCYES GEFORCE GT 1030,4GB,GDDR4,"R$ 569,99","R$ 670,58"
24-07-25,PCYES GEFORCE GT 1030,2GB,GDDR5,"R$ 529,99","R$ 623,52"
24-07-25,GIGABYTE GEFORCE RTX 5060 TI EAGLE OC,8GB,GDDR7,"R$ 2.999,99","R$ 3.529,40"
24-07-25,MANCER RADEON RX 5600 STREAKY,6GB,GDDR6,"R$ 1.299,99","R$ 1.529,40"
24-07-25,POWERCOLOR RADEON RX 7800 XT HELLHOUND SPECTRAL WHITE OC,16GB,GDDR6,"R$ 4.299,99","R$ 5.058,81"
24-07-25,POWERCOLOR RADEON RX 7800 XT FIGHTER OC,16GB,GDDR6,"R$ 3.899,99","R$ 4.588,22"
24-07-25,GALAX GEFORCE RTX 5060 TI 1-CLICK OC,16GB,GDDR7,"R$ 3.799,99","R$ 4.470,58"
24-07-25,MSI GEFORCE RTX 4070 SUPER VENTUS 2X OC,12GB,GDDR6X,"R$ 4.759,99","R$ 5.599,99"
24-07-25,ASROCK RADEON RX 6500 XT PHANTOM GAMING D OC,4GB,GDDR6,"R$ 1.299,99","R$ 1.529,40"
24-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2 OC,16GB,GDDR7,"R$ 3.499,99","R$ 4.117,63"
24-07-25,ASROCK RADEON RX 6400 CHALLENGER ITX,4GB,GDDR6,"R$ 1.029,99","R$ 1.211,75"
24-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2,8GB,GDDR7,"R$ 2.949,99","R$ 3.470,58"
24-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2 OC,8GB,GDDR7,"R$ 2.999,99","R$ 3.529,40"
24-07-25,ASUS GEFORCE RTX 5060 TI DUAL OC,8GB,GDDR7,"R$ 2.999,99","R$ 3.529,40"
24-07-25,XFX RADEON RX 6600 SPEEDSTER SWFT 210,8GB,GDDR6,"R$ 1.699,99","R$ 1.999,99"
24-07-25,GIGABYTE GEFORCE RTX 5060 TI WINDFORCE,8GB,GDDR7,"R$ 3.089,99","R$ 3.635,28"
24-07-25,GALAX GEFORCE RTX 5070 1-CLICK OC,12GB,GDDR7,"R$ 4.149,99","R$ 4.882,34"
24-07-25,POWERCOLOR RADEON RX 7900 XTX HELLHOUND OC,24GB,GDDR6,"R$ 6.759,99","R$ 7.952,93"
24-07-25,ASUS GEFORCE RTX 5060 TI DUAL OC,8GB,GDDR7,"R$ 2.999,99","R$ 3.529,40"
24-07-25,ASUS GEFORCE RTX 5060 TI PRIME OC,8GB,GDDR7,"R$ 3.199,99","R$ 3.764,69"
24-07-25,ASROCK RADEON RX 7600 STEEL LEGEND WHITE OC,8GB,GDDR6,"R$ 2.199,99","R$ 2.588,22"
24-07-25,XFX RADEON RX 7900 XT SPEEDSTER MERC310,20GB,GDDR6,"R$ 5.259,99","R$ 6.188,22"
24-07-25,XFX RADEON RX 7700 XT SPEEDSTER QICK319,12GB,GDDR6,"R$ 3.219,99","R$ 3.788,22"
24-07-25,XFX RADEON RX 7800 XT SPEEDSTER QICK319,16GB,GDDR6,"R$ 3.699,99","R$ 4.352,93"
24-07-25,MSI GEFORCE RTX 5060 TI VENTUS 2X OC PLUS,8GB,GDDR7,"R$ 2.999,99","R$ 3.529,40"
24-07-25,MSI GEFORCE RTX 5060 TI GAMING OC,8GB,GDDR7,"R$ 3.299,99","R$ 3.882,34"
24-07-25,MSI GEFORCE RTX 5060 TI GAMING TRIO OC,8GB,GDDR7,"R$ 3.659,99","R$ 4.305,87"
24-07-25,ASROCK RADEON RX 7700 XT CHALLENGER OC,12GB,GDDR6,"R$ 3.299,99","R$ 3.882,34"
24-07-25,INNO3D GEFORCE RTX 5090 X3 OC,32GB,GDDR7,"R$ 23.999,99","R$ 28.235,28"
24-07-25,ASUS GEFORCE RTX 5060 TI PRIME OC EDITION,16GB,GDDR7,"R$ 3.599,99","R$ 4.235,28"
24-07-25,XFX RADEON RX 7900 XTX SPEEDSTER MERC310,24GB,GDDR6,"R$ 6.499,99","R$ 7.647,05"
24-07-25,ASUS GEFORCE RTX 5060 TI DUAL OC,16GB,GDDR7,"R$ 3.699,99","R$ 4.352,93"
24-07-25,MANCER GEFORCE RTX 3070 HEIMDALL,8GB,GDDR6,"R$ 2.899,99","R$ 3.411,75"
24-07-25,PNY GEFORCE RTX 5070 OC TRIPLE FAN,12GB,GDDR7,"R$ 4.699,99","R$ 5.529,40"
24-07-25,PNY GEFORCE RTX 5070 EPIC-X OC,12GB,GDDR7,"R$ 4.999,99","R$ 5.882,34"
24-07-25,INNO3D GEFORCE RTX 5080 X3 GAMING OC,16GB,GDDR7,"R$ 9.899,99","R$ 11.647,05"
24-07-25,MSI GEFORCE RTX 5070 TI SHADOW 3X OC,16GB,GDDR7,"R$ 6.499,99","R$ 7.647,05"
24-07-25,PCYES GEFORCE GT 740,4GB,GDDR5,"R$ 499,99","R$ 588,22"
24-07-25,MSI GEFORCE RTX 5070 VENTUS 3X OC,12GB,GDDR7,"R$ 4.579,99","R$ 5.388,22"
24-07-25,MSI GEFORCE RTX 5070 VENTUS 2X OC WHITE,12GB,GDDR7,"R$ 5.299,99","R$ 6.235,28"
24-07-25,GIGABYTE GEFORCE RTX 5090 AORUS MASTER ICE,32GB,GDDR7,"R$ 19.999,99","R$ 23.529,40"
24-07-25,MSI GEFORCE RTX 5070 GAMING TRIO OC,12GB,GDDR7,"R$ 5.289,99","R$ 6.223,52"
24-07-25,INNO3D GEFORCE RTX 5070 TWIN X2 OC,12GB,GDDR7,"R$ 4.299,99","R$ 5.058,81"
24-07-25,INNO3D GEFORCE RTX 5070 TWIN X2 OC WHITE,12GB,GDDR7,"R$ 4.599,99","R$ 5.411,75"
24-07-25,GIGABYTE GEFORCE RTX 5090 GAMING OC,32GB,GDDR7,"R$ 18.999,99","R$ 22.352,93"
24-07-25,GIGABYTE GEFORCE RTX 5090 AORUS MASTER,32GB,GDDR7,"R$ 19.999,99","R$ 23.529,40"
24-07-25,MSI GEFORCE RTX 5090 VANGUARD SOC LAUNCH EDITION,32GB,GDDR7,"R$ 22.999,99","R$ 27.058,81"
24-07-25,PALIT GEFORCE RTX 5090 GAMEROCK,32GB,GDDR7,"R$ 18.999,99","R$ 22.352,93"
24-07-25,PALIT GEFORCE RTX 5080 GAMING PRO OC,16GB,GDDR7,"R$ 8.599,99","R$ 10.117,63"
